,main0,main1,main2
американский,0.0058515687,0.0016581422,0.0019372464
утверждать,0.0023445275,0.0030152632,0.0023719706
москва,0.000955302,0.0073824124,0.012233429
выступать,0.0031526347,0.0052064178,0.0010649387
деятельность,0.0019199528,0.00020064639,0.001927905
опровергать,0.0013474422,0.0021770103,0.0007828508
работа,0.010320395,0.0030443834,0.004082779
ответ,0.00023870212,0.0009846309,0.0015192272
политический,0.000596161,0.000780661,0.004871139
команда,0.0009420962,0.008482588,6.021872e-05
орган,0.001300593,0.0019724092,0.0024529942
тысяча,0.0033275865,0.003974059,0.004368604
сотрудник,0.003402919,0.0025114869,0.004478382
сумма,0.0030233792,0.0006246529,0.00032165257
назад,0.0011891231,0.0008463374,0.0019389238
занимать,0.0028186776,0.0043085185,3.7278183e-05
комитет,0.002452313,0.0017123505,0.001349208
рост,0.0016416124,0.0005221138,0.0028571282
допускать,0.0016307198,0.002360528,0.00043825596
входить,0.0024220897,0.0011413669,0.00083426514
оказываться,0.0062646903,0.0020945822,0.00031797084
продажа,0.0056459163,0.00043188466,0.0005841754
вскоре,2.3657882e-05,0.0008198072,0.0018008326
вместе,0.0009881895,0.001521699,0.0015513874
правоохранительный,0.0007564526,0.00056832784,0.0024634516
местный,0.0048234635,0.0017384005,0.00063379685
федеральный,0.00038755068,0.0035943538,0.00182716
заявлять,0.008714189,0.010557532,0.009169034
приходить,0.0020003358,0.0007862821,0.0009193799
пятый,0.002079689,0.0009952295,0.00020710647
также,0.009997923,0.0028030348,0.0084377
данный,0.0017132239,0.0019670108,0.00019640097
руководство,0.00038109653,0.0005417389,0.0022579927
декабрь,0.0005072712,0.004288579,0.00021343432
устанавливать,0.0030353803,0.0012431766,0.0013043534
обнаруживать,0.0030496258,0.00044413382,0.0014289857
случай,0.005531559,0.0011276343,0.0020879281
делать,0.00063849415,3.652871e-05,0.0019799029
находить,0.0009477239,9.157029e-05,0.0017177213
право,0.0020152049,0.00068189064,0.001975047
прошлый,0.00076116674,0.001317458,0.0008881003
премьер,0.0001820615,0.0006697182,0.0032828476
район,0.0020604962,0.0014032418,0.0028535007
новый,0.004990534,0.00056285533,0.005867071
обвинять,0.0015490917,0.0009085162,0.0021273592
корабль,0.007459319,0.004478602,0.0005544907
ноябрь,0.0012121665,0.0016656235,0.0027563008
средний,8.98336e-07,0.0038062972,0.0009504165
потерять,8.984964e-05,0.0016286807,0.0011193714
самый,0.0024887924,0.0008523349,0.0029823785
находиться,0.00082520803,0.014636959,0.0017126729
выпускать,0.00018010772,0.0016139069,0.0025434894
сформировывать,0.00021651557,0.00077850797,0.0031730982
лига,0.00013084398,0.0032311382,0.00032531607
общий,0.005313755,0.00010840748,0.0015653418
лишь,0.0016235424,0.003480225,5.7055586e-05
около,0.0068056374,0.0030578854,0.0011477275
момент,0.0024012162,0.0003243298,0.0024743357
приходиться,0.0013067294,0.0015990846,0.0017572324
идти,0.0005387867,0.00076987006,0.003443789
группа,0.0016512015,0.00461406,0.00357729
специалист,0.0024886879,0.00038715795,0.0013787973
состав,0.0009012822,0.0016107436,0.001050928
четыре,0.0038048755,0.0013681807,0.00016916967
путин,0.00045416126,0.0012487095,0.0026359092
миллиард,0.011928661,0.0017765582,1.2338583e-06
решение,0.0063032033,0.00055623753,0.0005132695
следствие,0.0051191063,0.0010215546,0.003939703
украина,0.0007975585,0.0062450445,0.005363044
ведомство,0.0016051205,0.00024735613,0.001129928
передача,0.005367878,0.0017148413,0.00026671955
связанный,0.0014739329,0.000577784,0.0009636066
выборы,0.0010418076,3.919639e-05,0.0031686286
пятница,0.0014820985,0.0009907176,0.0006338658
располагать,0.0020194666,0.0002973601,0.0007972544
вторник,0.0010641561,0.00021294977,0.0015400373
штат,0.0032181195,0.0011791048,0.003193801
весь,0.006761918,0.0026224663,0.012839731
знать,0.00014643621,0.002697563,0.001225028
большой,0.0009419425,0.00033349634,0.003992767
лидер,0.00011821479,0.0038696725,0.0037705104
сайт,0.0032928642,0.0028620665,0.0042812848
прибывать,0.001069044,0.002112897,0.0005381641
городской,0.0026120597,0.0012104309,0.000645544
появляться,0.004829508,0.00087883923,0.0027803152
признавать,0.005458152,0.0021967127,0.0017933447
пояснять,0.00016564119,0.0018914253,0.0008595642
жизнь,0.0015117365,0.00041187683,0.002051292
отношение,0.003981963,0.0025221896,0.0030756008
уголовный,0.004015307,0.00060801214,0.0016008131
день,0.0024441606,0.0030211145,0.010171217
качество,0.0009784685,0.00085242634,0.001099035
октябрь,0.001589686,0.006203098,0.003358511
отмечаться,0.0015076239,0.002244685,0.0011084654
шесть,0.0014981951,0.0014287684,0.00077095284
рынок,0.002557788,0.0021432028,0.00093649386
сила,8.069644e-05,0.0018088515,0.001968804
ночь,0.00238883,0.0005072939,0.001355268
удаваться,0.0055234153,0.001854464,0.0010313288
ссылка,0.0020938432,0.00030636817,0.004182561
сразу,0.00028568011,0.0037490963,0.00030145646
дмитрий,0.00021675744,0.00046790746,0.0039087515
однако,0.0017610742,0.0039254655,0.0060082977
сентябрь,0.0026846193,0.0015884757,0.0047269184
лента,0.0006400017,0.00080829655,0.0023576615
превышать,0.0005961177,0.0011494486,0.0011367978
возможный,0.0017918916,0.0007221371,0.00062517583
июль,0.005616363,0.004234787,8.237197e-05
время,0.008233231,0.011136224,0.011024252
известно,0.0006757715,0.0010654883,0.0016384049
компания,0.007913829,0.010004111,0.006232832
издание,0.0042682365,0.0015869983,0.0016379433
многий,0.0016742802,7.338094e-05,0.0012174369
лицо,0.00032945938,2.0087438e-05,0.0031959626
национальный,0.0041438877,0.0016888464,0.0006618066
интерфакс,0.0021489111,0.00081703364,0.000790032
стоять,0.0013929816,0.001569777,0.000242691
обвинение,0.0028266876,0.0010665025,0.00060645805
агентство,0.005546377,0.0011896907,0.0025208995
поздно,0.0030796498,0.0024534399,0.0022921155
процент,0.006080586,0.0014305862,0.006382925
житель,0.002280746,0.0030804228,0.006795369
доллар,0.0024250743,0.01527039,0.0010669876
жить,0.0015056503,0.00064392353,0.0013814055
сделать,0.0009560214,0.0021544048,0.0030463927
поступать,0.0021284053,0.00038076658,0.0006546682
состояние,0.00075801765,0.0004326455,0.0020766403
столица,0.0001874556,0.0048520854,0.0029507438
ответственность,0.00158456,0.0021610959,0.0006274068
место,0.008451169,0.0041547557,0.0060119154
действие,0.0031106847,0.0011953886,0.0027649626
проблема,0.0018584809,0.00058033486,0.0031500128
снимать,0.0022693274,0.0022984417,0.0020032949
интернет,0.0013798443,0.00036197345,0.0016917003
использовать,0.005507361,0.00166328,0.0007005377
примерно,0.0017076832,0.00054509204,0.00082371006
вызывать,0.0023974397,0.0016735349,0.00092637195
нарушение,0.0024626527,0.00027317117,0.002470961
квартира,0.0012519179,0.003067218,0.00064425933
представлять,0.00067483034,0.0029370044,0.0046001626
начинать,0.0025089877,0.0028999173,0.006283188
футбольный,0.00038057042,0.0024117192,0.00029916436
александр,0.00012884442,0.004080374,0.0011369326
отмечать,0.0032621317,0.0068352288,0.006107491
матч,0.0006755869,0.009550304,0.00039561026
мировой,0.0017900538,0.0015527626,0.00046697876
хотеть,0.00032541165,0.0050699357,0.00022138303
третий,0.0010448553,0.0021698354,0.001002775
добавлять,0.0028670533,0.0004057831,0.0010962231
называть,0.002018741,0.0022092585,0.0022507291
планировать,0.0013323898,0.0025125763,3.8100596e-05
подчеркивать,0.00013556595,0.004057456,0.0006580024
журналист,0.0011434103,0.002921445,0.0032962172
месяц,0.0010262968,0.005658518,0.0032004481
кроме,0.0015191431,0.0023085976,0.0025266157
facebook,0.0017727436,0.0008502394,0.0015225365
поскольку,0.001095737,0.0011490005,0.0012754637
следственный,0.0005257027,0.002136396,0.0009045286
рассказывать,0.0011418253,0.008864107,0.0010959056
решать,5.495654e-05,0.0022979889,0.002587591
заявление,9.512022e-05,0.0021749139,0.0026557024
министр,0.00023164685,0.00049128383,0.0073249154
россия,0.020868476,0.008525874,0.013474576
связь,0.0054686163,0.0025693607,0.0014935804
обращаться,0.002555907,0.00024087196,0.0014459575
капитан,0.0004886638,0.0015574213,0.0013849817
вынуждать,0.00043688738,0.0029658459,0.00080885174
сделка,0.00088888523,0.0008095436,0.00414902
сторона,0.007786518,0.0013273213,0.00082643237
статья,0.001648427,0.0015756978,0.0015335865
условие,0.0014046791,0.0025670023,0.00092850544
частность,0.0022360028,0.002631357,0.0012735648
версия,0.002596843,0.0023702972,0.0017149724
рука,0.0014628238,0.00013234123,0.0013209364
западный,0.0023093245,0.0002219526,0.0006511334
пострадавший,0.00025045453,0.0012244334,0.0013227725
якобы,0.00083853723,0.0019525917,0.0027957745
сообщаться,8.4942825e-05,0.008233929,0.001846643
свидетельствовать,0.0015435118,0.0003108748,0.0011237278
сыграть,0.0011781954,0.00069674413,0.0010797234
неделя,0.0027693715,0.00040789845,0.0026401924
безопасность,0.002488068,0.00042801577,0.001839332
больница,0.0007259621,0.0012618902,0.0029252262
вица,0.00043345313,0.0025441893,0.0021263848
среди,0.00035367027,0.00020532876,0.0025413395
евро,0.0013864228,0.0031277211,0.0014858346
