,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
main0,0.33378035,0.33255047,0.3330514,0.33587787,0.34130841,0.3336755,0.3358596,0.33545795,0.33097622,0.3317642,0.33497745,0.33339766,0.3340268,0.33035466,0.3307193,0.3295618,0.3352179,0.33164424,0.3426672,0.3321638,0.33390307,0.3340019,0.33912924,0.32912436,0.3381321,0.32960972,0.33288842,0.3324408,0.32883185,0.33347765,0.33457887,0.33324343,0.33362293,0.33292627,0.33224964,0.32970458,0.33670786,0.33144224,0.33598956,0.3314247,0.33512074,0.33166945,0.33467114,0.33164594,0.33176312,0.33276603,0.3348094,0.33404523,0.3307069,0.33378962,0.3316302,0.3383587,0.33245692,0.33464408,0.33288762,0.33423322,0.33559352,0.33160195,0.32997182,0.33284342,0.33422485,0.33143148,0.3374143,0.33553186,0.33285066,0.33615232,0.33364737,0.33466968,0.3334435,0.3290175,0.33312216,0.33472565,0.33420527,0.3322996,0.3325189,0.3318214,0.33459827,0.3326249,0.32766414,0.33144352,0.33304188,0.3311043,0.33538824,0.33224523,0.33306655,0.3351057,0.33365247,0.33818185,0.3303019,0.3346616,0.33149517,0.32827538,0.3346088,0.32680005,0.33233145,0.33188397,0.33731127,0.3300487,0.33424574,0.33642387
main1,0.3329466,0.33310348,0.3336167,0.33229172,0.32806545,0.33339217,0.32910037,0.33373955,0.33435225,0.33373278,0.33581322,0.3375232,0.33246112,0.33427665,0.3374918,0.33593112,0.3286904,0.3348661,0.32749543,0.33061382,0.33319318,0.33300987,0.33494934,0.33406273,0.33081684,0.3371335,0.3358892,0.33298102,0.33029512,0.33391494,0.3326914,0.33844945,0.3329193,0.33602163,0.3373873,0.33543077,0.3300818,0.33143026,0.33254597,0.3353395,0.3308642,0.33160648,0.33273512,0.3312986,0.33107817,0.33242005,0.32763624,0.3339186,0.33347446,0.3343365,0.3341142,0.3269171,0.32928255,0.33283147,0.33664277,0.33374625,0.32909995,0.33664376,0.33396947,0.3350766,0.33472386,0.33321634,0.3291913,0.3303383,0.33549026,0.3332602,0.3306653,0.3332632,0.3322315,0.3344832,0.33232492,0.3283522,0.33616686,0.33272466,0.33309275,0.33738363,0.33387828,0.33269402,0.3336098,0.333752,0.33070907,0.3335376,0.33356982,0.33462572,0.3341953,0.33161542,0.3337251,0.33396342,0.3382477,0.33399183,0.33371556,0.34184283,0.334424,0.33911252,0.33415228,0.33578813,0.3300513,0.33123884,0.33683705,0.33141512
main2,0.33327308,0.3343461,0.33333188,0.33183044,0.33062607,0.3329323,0.33504,0.3308025,0.3346715,0.33450297,0.32920933,0.32907918,0.33351207,0.3353687,0.3317889,0.33450714,0.3360917,0.33348966,0.3298374,0.33722237,0.33290374,0.3329882,0.32592148,0.33681294,0.33105105,0.3332568,0.3312224,0.33457822,0.34087297,0.33260742,0.33272973,0.32830715,0.3334578,0.33105206,0.3303631,0.33486462,0.33321032,0.3371275,0.33146444,0.33323583,0.33401504,0.33672407,0.33259374,0.33705547,0.3371587,0.33481392,0.33755434,0.33203617,0.33581868,0.3318739,0.3342556,0.33472416,0.3382605,0.33252445,0.33046964,0.33202058,0.33530653,0.33175427,0.3360587,0.33207998,0.33105126,0.3353522,0.33339438,0.33412987,0.33165905,0.3305875,0.33568734,0.33206713,0.33432505,0.3364993,0.33455288,0.33692217,0.32962787,0.33497575,0.33438835,0.330795,0.33152342,0.33468112,0.3387261,0.33480445,0.33624908,0.33535805,0.33104193,0.33312902,0.33273813,0.33327892,0.33262244,0.32785475,0.33145046,0.3313466,0.3347893,0.32988182,0.33096725,0.33408737,0.3335163,0.3323279,0.3326374,0.33871245,0.3289172,0.332161
