name,text,processed_text,tokens_len
Rukovodstvo_po_stroitelstvu_Derevyannoe_kruzhevo.pdf," Глава 4     274       Рис. 4.110. Конструкция крыши   для сельскохозяйственной постройки (TECO)        Рис. 4.111. Конструкция может быть превращена в беседку,    если застеклить рамы (TECO)       Рис. 4.112. Распространенная конструкция крыши    для складского помещения (TECO)   ",глава конструкция крыша сельскохозяйственный постройка teco конструкция мочь превращать беседка застеклять рама teco распространять конструкция крыша складской помещение teco,19
Покатаев В.П. Токарев А.А.- Конструкции малоэтажных зданий (Строительство) - 2004.pdf,"ний выпускают размерами 1200х686 мм, ТOJlЩИНОЙ 5,5 мм, а усиленного профиля -размером 2600х1000 мм толщиной 8 мм. Выпускаются также волнистые листы унифицированного профиля (УВ), имеющие увеличенную высоту волн. Размер листов УВ: 1750+2500x1125 мм при толщине 6 и 7,5 мм (рис. 1.2.9, табл. 1.2.9). Основными материалами для металлических кровель являются сталь листовая кровельная и сталь тонколистовая оцинкованная. Толщина стандартных кровельных листов -0,45-1,0 мм, размеры 710х1420 мм. Масса одного листа -3,5-8,0 кг. Для укрепления отдельных элементов металлических кровель на крыше применяют различные изделия из стали (поковки) и Кр'епежный материал (гвозди, проволоку и др). Для огрунтовки И окраски металлических кровель используют олифы, лаки и краски. Таблица 1.2.9 Вид Марка Размеры. мм Масса Длllна Ширина Толщина листа, кг Волнистые: обыкновенного ВО 1200 686 5,5 9 профиля усиленного профиля ВУ-К 2800 1000 8 50 ву-с унифицированного УВ-6-К 1750 1125 6 26 профиля (С) 2000 1125 6 30 2500 1125 6 37 УВ-7,5К 1750 1125 7,5 33 2000 1125 7,5 38 2500 1125 7,5 48 Средневолнистые С В-40 1250 1130 5,8 22 1750 1130 5,8 30 2500 1130 5,8 40 Примечание: индекс К -кровельные, С -стеновые. Стеклопластиковые кровли выполняют из волнистых или плоских ярко окрашенных листов из стеклопластика (прозрачных и непрозрачных). Их размеры: длина -до 2 м, ширина -до 1 М, толщина - 2 мм. 26 ",выпускать размер тojlщиной усиленный профиль размер толщина выпускаться также волнистый лист унифицировать профиль иметь увеличивать высота волна размер лист толщина табла основной материал металлический кровля являться сталь листовой кровельный сталь тонколистовой оцинковывать толщина стандартный кровельный лист размер масса лист укрепление отдельный элемент металлический кровля крыша применять различный изделие становиться поковка епежный материал гвоздь проволока огрунтовка окраска металлический кровля использовать олифа краска таблица марка размер масса длllна ширина толщина лист волнистый обыкновенный профиль усиленный профиль унифицировать профиль средневолнистый примечание индекс кровельный стеновый стеклопластиковый кровля выполнять волнистый плоский ярко окрашивать лист стеклопластик прозрачный непрозрачный размер длина ширина толщина,96
Rukovodstvo_po_stroitelstvu_Derevyannoe_kruzhevo.pdf," Глава 5     392       Рис. 5.49. Кровля укладывается до вентиляционной трубы,    а затем вокруг нее (Bird and Son)      Рис. 5.50. Первый шаг разметки проема для устройства гидроизоля ции   (Bird and Son) ",глава кровля укладываться вентиляционный труба затем вокруг bird первый разметка проем устройство гидроизоль bird,14
Самойлов В.C. - Строительство деревянного дома (Своими руками) - 2010.pdf,"брусков сечением 50х100 и 100х100 мм, которые устанавливают на расстоянии от 0,5 до 1,5 м друг от друга, привязывая их к дверным и оконным проемам. Стойки каркаса устанавливают на нижнюю обвязку, служащую его основанием (рис. 56).Обвязка изготавливается из бревен, брусьев или досок и опирается либо на балки цокольного перекрытия, либо непосредственно на цоколь по слою гидроизоляции. Углы нижней обвязки выполняют так, как показано на рис. 56или, в более упрощенном варианте – нарис. 57. Соединение – гвоздями, скобами, в идеальном варианте – шипами. Расстояние между несущими стойками каркаса выбирают из условий жесткости и размеров обшивочного ма 123  Рис. 55. Схема типового каркасного домика с высокой крышей:  1 Г нижняя обвязка; 2 Г деревянная обшивка; 3 Г стойки каркаса;  4 Г верхняя обвязка; 5 Г ограждение лоджии; 6 Г лобовая доска;  7 Г стропильная нога; 8 Г обрешетка; 9 Г подкос678 5 4 9 312",брусков сечение который устанавливать расстояние друг друг привязывать дверной оконный проем стойка каркас устанавливать нижний обвязка служить основание обвязка изготавливаться бревно брус доска опираться либо балка цокольный перекрытие либо непосредственно цоколь слой гидроизоляция угол нижний обвязка выполнять показывать упрощенный вариант нарис соединение гвоздь скоба идеальный вариант расстояние несущий стойка каркас выбирать условие жесткость размер обшивочный схема типовой каркасный домик высокий крыша нижний обвязка деревянный обшивка стойка каркас верхний обвязка ограждение лоджия лобовой доска стропильный нога обрешетка подкос,77
"Самойлов В.С., Левадный В.С. - Строительство каркасного дома (Своими руками) - 2009.pdf","новке стоек необходимо располагать их боковые стороны в одной плоскости в пределах стены. Это в последующем облегчит задачу как внутренней, так и наружной обшивки.  После установки стоек проверяют их вертикальность строительным уровнем или отвесом, после чего каждую стойку закрепляют временными связями. Временные связи можно снимать только после того, как каркасу по мере установки постоянных подкосов будет придана необходимая жесткость. Стойки пристроенных элементов (веранды, тамбура, эркера и т.п.) следует  134  Рис. 62. Нижняя обвязка в собранном виде",новка стойка необходимо располагать боковой сторона плоскость предел стена последующий облегчать задача внутренний наружный обшивка установка стойка проверять вертикальность строительный уровень отвес каждый стойка закреплять временный связь временный связь снимать каркас мера установка постоянный подкос придавать необходимый жесткость стойка пристроенный элемент веранда тамбур эркер следовать нижний обвязка собранный,48
Derevyanny_dom_karkasnye_raboty_Derevyannoe_kruzhevo.pdf,"8.3 Изготовление каркаса потолочного и кровельного перекрытий  Каркас потолочного перекрытия в системе Platform изготовляется совершенно аналогично тому, как это описано для подвального перекрытия (см. пункт 8.1 ""Изготовление подвального перекрытия""). Порядок следующий: на торцы балок нижнего перекрытия устанавливается одна из обрамляющих балок, на другую торцевую стену - другая обрамляющая балка, которая устанавливается на дальнюю наружную поверхность обвязки стен, после этого устанавливаются на своё место стандартные балки, которые крепятся к обвязке и обрамляющим балкам, и в завершение крепится другая обрамляющая балка. В конце на верхний край устанавливается напольная плита таким же образом, как это делалось на подвальном перекрытии, но при этом особое внимание уделяется креплению изоляции, для которой требуется основа на нижней поверхности потолочного перекрытия. В качестве основы может служить упругая строительная бумага (например, пароизоляционная бумага) и нижний слой обрешётки  потолочной  поверхности нижележащего помещения. Кровельное перекрытие обычно делается в готовом виде с использованием либо готовых ферм, либо балок, изготовляемых на месте. Начиная с верха обвязки стен, методика совершенно аналогична методике, описанной в главе 5 ""Изготовление конструкций кровельного перекрытия и крыши"". ",изготовление каркас потолочный кровельный перекрытие каркас потолочный перекрытие система platform изготовляться совершенно аналогично описывать подвальный перекрытие пункт изготовление подвальный перекрытие порядок следующий торец балка нижний перекрытие устанавливаться обрамлять балка торцевой стена обрамлять балка который устанавливаться дальний наружный поверхность обвязка стена устанавливаться свой место стандартный балка который крепиться обвязка обрамлять балка завершение крепиться обрамлять балка конец верхний край устанавливаться напольный плита образ делаться подвальный перекрытие особый внимание уделяться крепление изоляция который требоваться основа нижний поверхность потолочный перекрытие качество основа мочь служить упругий строительный бумага например пароизоляционный бумага нижний слой обрешетка потолочный поверхность нижележащий помещение кровельный перекрытие обычно делаться готовый использование либо готовый ферма либо балка изготовлять место начинать верх обвязка стена методика совершенно аналогичный методика описывать глава изготовление конструкция кровельный перекрытие крыша,121
Назарова В.И. - Современный ремонт загородного дома и квартиры (Энциклопедия строительства) - 2011.pdf," Современный ремонт дома и квартиры 310 армирования. Плиты применяют для устройства  гидроизоляции и заполнения деформационных швов. Пергамин – рулонный материал, получаемый пропиткой кровельного картона расплавленным нефтяным битумом с температурой размягчения не ниже  40 °С, используют в качестве подкладочного материала под рубероид и изоляцию. Рубероид изготавливают, пропитывая кровельный  картон легкоплавким битумом с последующим покрытием с одной или двух сторон тугоплавким нефтяным  битумом с наполнителем и посыпкой. Кровельный  картон получают из бумажной макулатуры, тряпья и  древесной целлюлозы. Атмосферостойкость и привлекательный вид рубероида достигаются с помощью  крупнозернистой цветной посыпки. В зависимости от  назначения (П – подкладочный и К – кровельный),  вида посыпки и массы 1 м 2  основы рубероид подразделяют на марки: РКК-500А; РКК-400А; РКК-400Б;  РКК-400В; РКМ-350Б; РКМ-400В; РПМ-300А;  РПМ-300Б; РПМ-300В; РПП-350Б; РПП-350В;  РПП-300А; РКК-300В. Для предотвращения слипания материала в рулонах на обе стороны подкладочного и на нижнюю  поверхность кровельного рубероида наносится слой  мелкозернистой или пылевидной посыпки. Недостаток рубероида состоит в том, что он подвержен гниению, поэтому освоено производство антисептированного рубероида. Для районов с холодным климатом выпускают  рубероид РЭМ-350 с эластичным покровным слоем  битума, модифицированного полимерами.  Добавление полимера снижает температуру хрупкости покровного битума до –50 °С. При использовании  рубероида с эластичным покровным слоем, обладающим повышенной погодоустойчивостью, долговечность кровли возрастает в 1,5–2 раза.",современный ремонт квартира армирование плита применять устройство гидроизоляция заполнение деформационный пергамин рулонный материал получать пропитка кровельный картон расплавлять нефтяной битум температура размягчение ниже использовать качество подкладочный материал рубероид изоляция рубероид изготовлять пропитывать кровельный картон легкоплавкий битум последующий покрытие сторона тугоплавкий нефтяной битум наполнитель посыпка кровельный картон получать бумажный макулатура тряпье древесный целлюлоза атмосферостойкость привлекательный рубероид достигаться помощь крупнозернистый цветной посыпка зависимость назначение подкладочный кровельный посыпка масса основа рубероид подразделять марка предотвращение слипание материал рулон сторона подкладочный нижний поверхность кровельный рубероид наноситься слой мелкозернистый пылевидный посыпка недостаток рубероид состоять подверженный гниение поэтому осваивать производство антисептировать рубероид район холодный климат выпускать рубероид эластичный покровный слой битум модифицировать полимер добавление полимер снижать температура хрупкость покровный битум использование рубероид эластичный покровный слой обладать повышенный погодоустойчивость долговечность кровля возрастать,124
Самойлов В.C. - Строительство деревянного дома (Своими руками) - 2010.pdf," 219  Рис. 110. Основные виды оконных блоков: а Г окно типа ""евростандарт""; б Г блок со спаренными створками; в Г блок с раздельными створками; 1 Г стеклопакет; 2 Г створка; 3 Г коробка; 4 Г дополнительная секция коробки; 5 Г внешняя створка; 6 Г одинарное стекло; 7 Г внутренняя створка; 8 Г дополнительная секция коробки; 9 Г противоветровая защелкаА1 2561 7 34 361 7 5 9 8 3ВБ",основной оконный блок окно евростандарт блок спаривать створка блок раздельный створка стеклопакет створка коробка дополнительный секция коробка внешний створка одинарный стекло внутренний створка дополнительный секция коробка противоветровой защелкаа,28
Rukovodstvo_po_stroitelstvu_Derevyannoe_kruzhevo.pdf,"Рамные строительные конструкции для полов       49    Для крепления внутренних стен и перегородок могут быть и спользованы специальные гвозди для крепления в кирпичной кладке.  Они забиваются кувалдами или гвоздезабивателями. Это крепление  выполняется в основном, чтобы предотвратить смещение внутре нних стен. На рис. 2.9 показано использование для забивания таких  гвоздей гвоздезабивателя.    Установка опорных балок   Опорные балки служат опорой для торцов половых лаг. Обычно  эти балки устанавливают по фундаментным столбикам, устроенным  между наружными стенами. Расстояние между столбиками назыв ают пролетом.   Определение положения    опорной балки  В  проектах  всегда  указывается  расстояние  между  опорами,  опорными балками и внутренними кромками фундаментов, даются  расчетные сечения балок, лаг и схемы их раскладки.        Рис. 2.10. Устройство опорной деревянной балки    (Forest Products Laboratory) ",рамный строительный конструкция крепление внутренний стена перегородка мочь спользовать специальный гвоздь крепление кирпичный кладка забиваться кувалда гвоздезабиватель крепление выполняться основной предотвращать смещение внутро нние стена показывать использование забивание гвоздь гвоздезабиватель установка опорный балка опорный балка служить опора торец половой обычно балка устанавливать фундаментный столбик устраивать наружный стена расстояние столбик назыв пролет определение положение опорный балка проект указываться расстояние опора опорный балка внутренний кромка фундамент даваться расчетный сечение балка схема раскладка устройство опорный деревянный балка forest products laboratory,77
Rukovodstvo_po_stroitelstvu_Derevyannoe_kruzhevo.pdf, Глава 4     302       Рис. 4.140. Расположение в доме элементов    металлического крепежа (SEMCO)            ,глава расположение элемент металлический крепеж semco,6
