,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
main0,0.44527644,0.18470548,0.22842395,0.73533726,0.9705289,0.41824198,0.39777532,0.48425004,0.0074389116,0.10280899,0.35684168,0.35343918,0.34549668,0.017488515,0.01442164,0.05442092,0.32476488,0.17143206,0.8763367,0.07039242,0.40100265,0.36740342,0.6128774,0.08145036,0.56663364,0.05597444,0.20212892,0.1997398,0.06607309,0.27025506,0.40040052,0.18247396,0.3956217,0.33465156,0.2816528,0.083033375,0.69523776,0.09358782,0.571655,0.13602889,0.5290882,0.11746453,0.51326287,0.101574,0.21317856,0.21281163,0.30228013,0.43547967,0.040429585,0.41134256,0.06036432,0.630386,0.063523196,0.75122553,0.21590418,0.34439707,0.3989769,0.15285619,0.028709887,0.24463788,0.45609415,0.08369052,0.78657717,0.47194165,0.27521783,0.5804321,0.10589436,0.40089175,0.26403147,0.021187473,0.14572339,0.27490348,0.19430023,0.16380514,0.19677097,0.13471845,0.44156286,0.25660196,0.009358289,0.038781393,0.20921658,0.06637757,0.39264184,0.20692854,0.08118524,0.6147608,0.35814402,0.55851734,0.031155732,0.40783897,0.020801274,0.029427547,0.38184822,0.0101351915,0.1783715,0.1440106,0.4036494,0.0013695001,0.38430223,0.43743867
main1,0.24568114,0.23174162,0.2834822,0.16255713,0.0043514688,0.2643749,0.0775651,0.3593368,0.28455848,0.30921623,0.47503203,0.5816772,0.19983639,0.26007092,0.8777456,0.4182058,0.014550555,0.4366201,0.033389695,0.11561182,0.28384036,0.2672062,0.3672457,0.30105326,0.18363321,0.5631747,0.62044007,0.27381915,0.22666426,0.352856,0.24165346,0.81556344,0.33015552,0.54972154,0.55925536,0.46718073,0.040735986,0.083099924,0.21742907,0.39447922,0.011534364,0.17766094,0.34290147,0.121472634,0.11177578,0.29263407,0.007473382,0.38998088,0.30157182,0.3940436,0.32487935,0.005375052,0.009708901,0.11961244,0.6825638,0.56324124,0.042118445,0.70739055,0.32674542,0.42081252,0.45003244,0.21978211,0.0025554176,0.12072533,0.54012257,0.32810083,0.037006073,0.28106043,0.19783805,0.22007152,0.11765245,0.13687062,0.7533694,0.24533457,0.26644692,0.85840183,0.33120435,0.19005719,0.116466984,0.28374356,0.11948419,0.32875437,0.42709836,0.3558498,0.685895,0.08306239,0.41283622,0.34333935,0.8790412,0.30168846,0.1536904,0.83888197,0.52916723,0.6145634,0.37852624,0.5083448,0.2160417,0.009286624,0.55234253,0.24672154
main2,0.30904236,0.58355296,0.48809388,0.10210565,0.025119565,0.3173831,0.5246595,0.15641314,0.7080026,0.58797485,0.16812631,0.0648836,0.454667,0.7224406,0.10783273,0.5273733,0.6606845,0.3919479,0.090273626,0.8139958,0.3151571,0.36539045,0.019876853,0.61749643,0.24973312,0.38085082,0.17743099,0.52644104,0.7072627,0.37688887,0.357946,0.0019625935,0.27422276,0.11562695,0.15909179,0.44978595,0.26402625,0.8233122,0.21091598,0.46949193,0.45937747,0.70487463,0.14383572,0.7769534,0.67504567,0.49455428,0.69024646,0.1745395,0.6579986,0.1946139,0.61475635,0.36423898,0.9267679,0.12916207,0.101532064,0.092361696,0.55890465,0.1397532,0.6445447,0.33454958,0.09387348,0.69652736,0.21086739,0.40733305,0.18465956,0.09146701,0.8570996,0.31804776,0.5381305,0.75874096,0.73662424,0.5882259,0.052330412,0.59086037,0.53678215,0.006879772,0.22723275,0.55334085,0.8741747,0.67747504,0.6712992,0.6048681,0.18025973,0.43722165,0.23291978,0.3021768,0.22901976,0.09814324,0.08980313,0.29047263,0.8255083,0.13169056,0.08898449,0.3753014,0.44310218,0.3476445,0.380309,0.9893439,0.063355185,0.31583986
