,main0,main1,main2
город,0.0028110968,0.010914137,0.002268291
речь,0.0017168939,0.0015473657,0.0008835349
первый,0.0074240174,0.004085573,0.002116479
инцидент,0.002159896,0.0020253272,0.002922783
продолжать,0.00034349793,0.0024110116,0.00080035476
касаться,0.0018664676,0.0004506656,0.0006460413
андрей,0.0015527967,0.0036922721,0.0024555156
призывать,0.0014923738,0.00078198,0.00068855984
объяснять,0.0015639116,0.0005934323,0.0008054991
становиться,0.0025433109,0.006999907,0.011767358
член,0.00067114044,0.0004474286,0.0018428847
никто,0.0010600619,0.0005674566,0.0019265237
открывать,0.0006287034,0.0013903138,0.0009432385
февраль,0.0008410229,0.00748547,0.002336259
управление,0.00016388271,0.00063281565,0.002164265
текущий,7.430417e-06,0.0018582783,0.0016881289
оборона,0.0010058521,0.004075923,0.0002515763
судебный,0.0016536651,0.0015246264,0.00037752427
россиянин,0.00042640042,0.0044934386,0.00041323574
поставка,0.00024312406,0.0018451384,0.0026497252
следующий,0.0008425761,0.0010808774,0.0010387974
руководитель,0.0030013083,0.0008281858,0.00091146334
убийство,0.0014625012,0.00023688212,0.00422276
летний,0.0032529444,0.004058639,0.0027584399
пытаться,0.0034616597,0.003956713,0.00087708986
второй,0.004100401,0.002541615,0.0016528699
течение,0.0034815802,9.82902e-05,0.0011612371
британский,0.0025866409,0.00033208984,0.0024130119
новость,0.0016624217,0.0053572473,0.0024580457
военный,0.0057241484,0.007832133,0.0018454976
министерство,0.003036878,0.00023067166,0.0020647894
заместитель,0.002239701,0.0005018262,0.0014060712
программа,0.0065611205,0.0009708419,0.0037238305
спикер,0.0018005549,0.0018379182,0.001101592
помогать,0.0024081294,0.00081218797,0.0027033954
государство,0.004390879,0.0022132252,0.001099299
республика,0.000667577,0.0015953502,0.0012915143
международный,0.0017464765,0.0018578223,0.0029112038
федерация,0.0020224208,0.0010535946,0.0004798883
очень,0.0011510672,0.0034576457,0.00013227458
добиваться,0.0008303861,0.0014566657,0.00067556
работать,0.0033578498,0.0029998508,0.00075314485
кампания,1.3227484e-05,0.0017263304,0.0018141597
армия,0.001956239,0.001988531,0.00079569285
помощь,0.0015460269,0.0023791518,0.0031823376
смочь,0.0017124913,0.0008727336,0.002153813
государственный,0.00010240972,0.0016185035,0.0024247658
правительство,0.0017262683,0.0027386704,0.0032349182
пресс,0.0045367572,0.0032211062,0.0034964117
сказать,0.0028996721,0.00088454236,0.0056911963
округ,0.004050794,0.003488013,0.002531825
итог,0.00130323,0.0002311138,0.0014277955
проект,0.0013794899,0.0021385667,0.0029972189
передавать,0.006235433,0.00036473232,0.0028798243
объявлять,0.002826358,0.0007851338,0.0017209718
причина,9.464558e-06,0.0030541515,0.0034508882
информация,0.0048640757,0.001823356,0.0057494915
должный,0.0031159448,0.003112854,0.0020651012
южный,0.00182294,0.0010114918,0.0013129959
практически,0.0005347725,0.001432287,0.0021789833
граница,0.0009586513,0.0009663577,0.0057728156
олег,0.0009872332,0.0012336632,0.0013336347
ситуация,0.0022228702,0.00091676606,0.00041645166
попытка,0.0007144077,0.0019503515,0.000298223
женщина,0.00023201088,0.0017912555,0.003306591
который,0.012854267,0.007178809,0.043829985
оставаться,0.0006726419,0.0018792455,0.0021866513
единственный,0.0004296988,0.0021675855,0.00036553168
бывший,0.0001755444,0.006106402,0.0043782294
попытаться,5.094402e-05,0.0017157275,0.0017870829
являться,0.0037007008,0.0033593762,0.0012350478
штаб,0.00026483028,0.0019594037,0.00073811406
стоимость,0.0017706583,0.005521351,0.0010028693
затем,0.00172237,0.0014630789,0.0009622674
российский,0.0016201937,0.017779967,0.020832717
начало,0.0051847524,0.0030065635,0.0012891763
